LotNum	Title	Description	LowEst	HighEst
65	"PERSIAN OUSHAK WOOL RUG W/ FRINGE 5'1"" BY 2'10"""	"Persian Oushak brown wool rug with cream and salmon accents.  Measures 5' 1"" long by 2' 10"" wide.  Wear to edges with some fraying.  See images."	200.00	300.00
66	"PERSIAN TABRIZ RUG w/ SILK HIGHLIGHTS 9' 3"" X 6' 8"""	"Persian Tabriz rug with silk highlights, a white fringe, low pile and leather strips sewn onto the back.  Several minor soiled areas.  Measures from fringe to fringe 9' 3"" long by 6' 8"" wide.  See images."	400.00	600.00
68	SIX SETS ROSENTHAL CABINET CUPS & SAUCERS	"Six sets of Rosenthal cabinet cups and saucers.  All are marked with the Rosenthal hallmark on the base.  Largest  set measures; cup 1 3/4"" high by 3 1/2"" wide, saucer 4 1/2"" wide.  Smallest set measures: cup 2"" high by 2 1/2"" wide, saucer 4 1/4"" wide.  Condition is good, no chips, cracks or crazing.  See images.  Approx. weight 1 lb."	75.00	125.00
70	SEVEN SETS ASSORTED BONE CHINA CUPS & SAUCERS	"Seven sets of assorted cups and saucers: Six bone china and one Chinese enamel. Group includes Royal Albert, Royal Chelsea, Bavaria, Piccadilly and others.  Largest set measures cup 3 1/4"" tall by 3"" wide, saucer 6"" wide.  Smallest set cup 1 3/4"" high by 4 1/4"" wide, saucer 4 1/4"" wide.  No chips, cracks or crazing, some sets do show signs of moderate use.  See images.  Approx. weight 3 1/2 lbs."	40.00	80.00
72	2 THEODORE HAVILAND LIMOGES COVERED SERVING DISHES	"Two Theodore Haviland Limoges covered serving dishes with gilt finials and handles.  Measures with lids 5 1/4"" high by 10 3/4"" wide handle to handle.  Stamped on the back of the lids and on the base of the bowls is Theodore Haviland, Limoges, France.  One small chip along the rim of one dish, otherwise the condition is good.  See images.  Approx. weight 5 lbs."	50.00	75.00
73	SIX BACCARAT CRYSTAL CHAMPAGNE FLUTES	"Six French Baccarat crystal champagne flutes.  Each piece with etched Baccarat hallmark.  Flutes measure 9 1/4"" tall by 3"" wide at the base.  Condition is good, no chips or cracks.  Box measures 10"" high by 12 1/4"" wide by 8"" deep.  See images.  Approx. weight 3.4 lbs."	400.00	500.00
74	TWO CONTEMPORARY ART GLASS VASES	"Two unsigned art glass vases.  Tallest measures 9 1/2"" tall by 2 1/2 wide.  Shortest measures 9"" tall by 2 1/2"" wide.  Flake on one side of one vase near base.  See images.  Approx. weight 8 1/2 lbs."	50.00	75.00
76	LARGE CAPODIMONTE PORCELAIN FIGURE	"Large Capodimonte porcelain figure of a seated man playing a violin. Capodimonte blue mark.  Measures 11 3/4"" tall by 7 1/2"" wide by 9"" deep.  One pinkie finger is broken.  See images.  Approx. weight 4.1 lbs."	100.00	150.00
77	OIL PAINTING EDWARD LUPPER: MERRY TRAVELERS	"Painting by Edward Lupper titled, ""Merry Travelers"".  Framed dimensions 11 1/2 by 13 1/2"". Visible art 6 1/2 by 8 1/2"".  Lupper uses a mixed-media combination of casein and oil paints on gesso-prepared tempered masonite panels"	400.00	600.00
78	OIL PAINTING EDWARD LUPPER: ROMANTIC TRIANGLE	"Painting by Edward Lupper titled, ""Romantic Triangle"".  Framed dimensions 11 1/2 by 13 1/2"". Visible art 6 1/2 by 8 1/2"".  Lupper uses a mixed-media combination of casein and oil paints on gesso-prepared tempered masonite panels"	400.00	600.00
